,0
2005_w37,0.6706771800000001
2005_w38,0.6892775899999999
2005_w39,0.70492899
2005_w40,0.6159033100000001
2005_w41,0.60942561
2005_w42,0.68025867
2005_w43,0.7754884300000001
2005_w44,0.68342137
2005_w45,0.7810747900000001
2005_w46,0.8069434699999999
2005_w47,1.0763467800000002
2005_w48,1.05868896
2005_w49,1.11523258
2005_w50,1.1238124999999999
2005_w51,1.25488918
2005_w52,1.33660897
2006_w1,1.37863636
2006_w2,1.6082899599999998
2006_w3,1.48310562
2006_w4,1.6537399299999997
2006_w5,2.00678924
2006_w6,2.56857161
2006_w7,3.0527762200000006
2006_w8,2.4250373
2006_w9,2.00195064
2006_w10,2.05869022
2006_w11,2.21276968
2006_w12,2.3222001000000003
2006_w13,2.49279201
2006_w14,2.7948942
2006_w15,2.96911136
2006_w16,2.83959055
2006_w17,2.77799021
2006_w18,2.47286927
2006_w19,2.1806145999999997
2006_w20,2.0167951399999997
2006_w21,1.6410133199999999
2006_w22,1.35828653
2006_w23,1.14279828
2006_w24,1.04031252
2006_w25,0.9643469199999999
2006_w26,0.9379817500000001
2006_w27,0.94744934
2006_w28,0.8919182099999999
2006_w29,0.8646426800000001
2006_w30,0.9703198999999999
2006_w31,0.8443901199999999
2006_w32,0.77487036
2006_w33,0.82137249
2006_w34,0.87274451
2006_w35,0.9226345
2006_w36,0.8994868300000001
2006_w37,0.84308238
2006_w38,0.8818244100000001
2006_w39,0.8171451700000001
2006_w40,0.8715000900000001
2006_w41,0.7386205100000001
2006_w42,0.7979659699999999
2006_w43,1.01393731
2006_w44,0.8809358199999999
2006_w45,0.9433663
2006_w46,0.89154618
2006_w47,1.20322281
2006_w48,1.05788216
2006_w49,1.13053544
2006_w50,1.12552298
2006_w51,1.20808202
2006_w52,1.3495243999999997
2007_w1,1.46890042
2007_w2,1.82767159
2007_w3,1.66560124
2007_w4,1.85968343
2007_w5,2.38891302
2007_w6,2.7897759300000002
2007_w7,3.1154858500000002
2007_w8,2.26942447
2007_w9,1.8635464300000002
2007_w10,1.9998634599999998
2007_w11,2.44060441
2007_w12,2.83018207
2007_w13,3.12342558
2007_w14,3.2701948700000005
2007_w15,3.1775688300000002
2007_w16,2.72363662
2007_w17,2.50201399
2007_w18,2.4271992000000004
2007_w19,1.9604132400000003
2007_w20,1.59139796
2007_w21,1.36978354
2007_w22,1.36316678
2007_w23,1.17369508
2007_w24,1.0635756299999999
2007_w25,0.9697110999999999
2007_w26,0.96536174
2007_w27,0.85674892
2007_w28,0.8633464599999999
2007_w29,0.93536951
2007_w30,0.74556943
2007_w31,0.74042811
2007_w32,0.6728965100000001
2007_w33,0.66628201
2007_w34,0.66274725
2007_w35,0.54561897
2007_w36,0.5862305999999999
2007_w37,0.6606867
2007_w38,0.5340928399999999
2007_w39,0.58554913
2007_w40,0.6180749600000001
2007_w41,0.68746469
2007_w42,0.7156960699999998
2007_w43,0.82931307
2007_w44,0.80091155
2007_w45,0.9184839499999999
2007_w46,0.81425904
2007_w47,1.07197084
2007_w48,1.21785737
2007_w49,1.24575535
2007_w50,1.35984488
2007_w51,1.44670849
2007_w52,1.53286385
2008_w1,1.66653243
2008_w2,1.97487735
2008_w3,1.67305472
2008_w4,1.63405086
2008_w5,1.74594749
2008_w6,1.93643192
2008_w7,2.4890534200000003
2008_w8,2.2540483900000003
2008_w9,2.0914715399999997
2008_w10,2.35934278
2008_w11,3.3233143
2008_w12,4.43381004
2008_w13,5.34547137
2008_w14,5.42257506
2008_w15,5.30303296
2008_w16,4.24455502
2008_w17,3.6280001200000003
2008_w18,3.03462751
2008_w19,2.53595356
2008_w20,2.05730148
2008_w21,1.7415034999999999
2008_w22,1.4065217099999998
2008_w23,1.26860704
2008_w24,1.07718874
2008_w25,0.99344524
2008_w26,0.9112119300000001
2008_w27,0.97210913
2008_w28,0.9932575100000001
2008_w29,1.09132023
2008_w30,0.88844596
2008_w31,0.8876914499999999
2008_w32,0.88318743
2008_w33,0.8267563699999999
2008_w34,0.78320139
